,TEAM,TOTAL GAMES,PPG,APG,RPG,WINS,WINPG,POWERCO
8,Clippers,1722,101.84262485481997,22.02903600464576,42.69744483159117,901,0.5232288037166086,53287.0
1,Heat,1820,101.06263736263736,22.031868131868134,42.652197802197804,952,0.5230769230769231,52864.0
14,Suns,1699,101.78752207180695,22.338434373160684,42.6627427898764,888,0.5226603884638023,53200.0
4,Cavaliers,1752,101.55650684931507,22.03538812785388,42.8601598173516,906,0.5171232876712328,52517.0
22,76ers,1678,102.18533969010727,22.080452920143028,42.594755661501786,866,0.5160905840286055,52737.0
13,Raptors,1707,102.15231400117165,22.114235500878735,42.482132396016404,876,0.5131810193321616,52423.0
0,Lakers,1776,101.21002252252252,21.90427927927928,42.85585585585586,911,0.5129504504504504,51916.0
5,Mavericks,1745,101.32550143266475,21.92779369627507,42.750716332378225,891,0.5106017191977077,51737.0
23,Jazz,1707,102.15992970123023,21.914469830111308,42.86584651435267,868,0.5084944346807264,51948.0
29,Hornets,1544,102.2791450777202,22.49417098445596,42.895725388601036,783,0.5071243523316062,51868.0
2,Spurs,1811,101.697956929873,22.203202650469354,42.60298177802319,918,0.5069022639425732,51551.0
9,Warriors,1739,101.99712478435883,22.441633122484188,42.913168487636575,879,0.5054629097182288,51556.0
15,Hawks,1718,101.98311990686845,22.069266589057044,42.665308498253786,866,0.5040745052386496,51407.0
28,Knicks,1625,101.53723076923077,21.84923076923077,42.93538461538461,818,0.5033846153846154,51112.0
3,Celtics,1801,101.53470294280955,21.84730705163798,42.610216546363134,906,0.5030538589672404,51077.0
18,Grizzlies,1696,101.61320754716981,22.048938679245282,43.02122641509434,853,0.5029481132075472,51106.0
21,Nets,1689,101.85435168738898,22.108348134991118,42.733570159857905,849,0.5026642984014209,51199.0
7,Bulls,1704,101.75528169014085,22.118544600938968,42.60680751173709,854,0.5011737089201878,50997.0
16,Trail Blazers,1697,102.19681791396582,21.94166175604007,42.60931054802593,840,0.4949911608721273,50587.0
26,Timberwolves,1628,101.83783783783784,22.197174447174447,43.13206388206388,805,0.49447174447174447,50356.0
20,Nuggets,1728,101.94270833333333,22.212962962962962,42.4212962962963,850,0.49189814814814814,50145.0
17,Bucks,1703,102.17028772753963,22.065179095713447,42.99647680563711,836,0.4908984145625367,50155.0
24,Wizards,1686,102.4661921708185,22.18861209964413,42.64827995255042,825,0.4893238434163701,50139.0
19,Magic,1691,101.04494382022472,21.88586635127144,42.58900059136606,821,0.48551153163808397,49058.0
25,Pelicans,1656,101.04106280193237,22.11171497584541,42.8774154589372,804,0.4855072463768116,49056.0
12,Pacers,1732,101.77193995381063,22.25461893764434,42.552540415704385,832,0.48036951501154734,48888.0
11,Thunder,1725,101.51014492753623,22.06840579710145,42.928695652173914,828,0.48,48725.0
6,Pistons,1724,100.2645011600928,21.73955916473318,42.27146171693735,825,0.478538283062645,47980.0
27,Kings,1639,101.80964002440513,21.997559487492374,42.48871262965223,773,0.47162904209884077,48016.0
10,Rockets,1736,101.38364055299539,21.90668202764977,42.434331797235025,815,0.4694700460829493,47597.0
